pollscore,sample_size,state,party,candidate_name,pct,win,party_binary
-0.3,804,Arizona,REP,Donald Trump,47,0,0
-0.3,801,Georgia,DEM,Joe Biden,43,0,1
-0.3,801,Georgia,REP,Donald Trump,48,0,0
-0.3,706,Michigan,DEM,Joe Biden,44,0,1
-0.3,706,Michigan,REP,Donald Trump,44,0,0
-0.3,503,Nevada,DEM,Joe Biden,46,0,1
-0.3,503,Nevada,REP,Donald Trump,43,0,0
-0.3,702,North Carolina,DEM,Joe Biden,43,0,1
-0.3,702,North Carolina,REP,Donald Trump,47,0,0
-0.3,807,Pennsylvania,DEM,Joe Biden,45,0,1
-0.3,807,Pennsylvania,REP,Donald Trump,46,0,0
-0.3,700,Wisconsin,DEM,Joe Biden,44,0,1
-0.3,700,Wisconsin,REP,Donald Trump,46,0,0
0.4,820,Michigan,DEM,Joe Biden,41,0,1
0.4,820,Michigan,REP,Donald Trump,41,0,0
0.4,820,Michigan,DEM,Joe Biden,38,0,1
0.4,820,Michigan,REP,Donald Trump,40,0,0
0.4,820,Michigan,IND,Robert F. Kennedy,7,0,0
0.4,627,Arizona,DEM,Joe Biden,39,0,1
0.4,627,Arizona,REP,Donald Trump,44,0,0
0.4,627,Arizona,DEM,Joe Biden,37,0,1
0.4,627,Arizona,REP,Donald Trump,42,0,0
0.4,627,Arizona,IND,Robert F. Kennedy,8,0,0
0.4,1100,Florida,DEM,Joe Biden,39,0,1
0.4,1100,Florida,REP,Donald Trump,44,0,0
0.4,1100,Florida,DEM,Joe Biden,37,0,1
0.4,1100,Florida,REP,Donald Trump,44,0,0
0.4,1100,Florida,IND,Robert F. Kennedy,8,0,0
0.4,761,Georgia,DEM,Joe Biden,40,0,1
0.4,761,Georgia,REP,Donald Trump,43,0,0
0.4,761,Georgia,DEM,Joe Biden,38,0,1
0.4,761,Georgia,REP,Donald Trump,41,0,0
0.4,761,Georgia,IND,Robert F. Kennedy,8,0,0
0.4,736,North Carolina,DEM,Joe Biden,38,0,1
0.4,736,North Carolina,REP,Donald Trump,43,0,0
0.4,736,North Carolina,DEM,Joe Biden,38,0,1
0.4,736,North Carolina,REP,Donald Trump,41,0,0
0.4,736,North Carolina,IND,Robert F. Kennedy,9,0,0
0.4,900,Pennsylvania,DEM,Joe Biden,43,0,1
0.4,900,Pennsylvania,REP,Donald Trump,42,0,0
0.4,900,Pennsylvania,DEM,Joe Biden,39,0,1
0.4,900,Pennsylvania,REP,Donald Trump,39,0,0
0.4,900,Pennsylvania,IND,Robert F. Kennedy,9,0,0
0.1,600,Michigan,DEM,Joe Biden,35.1,0,1
0.1,600,Michigan,REP,Donald Trump,41.6,0,0
0.1,600,Michigan,DEM,Gretchen Whitmer,46.2,0,1
0.1,600,Michigan,REP,Donald Trump,40.4,0,0
-1.1,438,Ohio,DEM,Joe Biden,32.6,0,1
-1.1,438,Ohio,REP,Donald Trump,44.6,0,0
-1.1,430,Pennsylvania,DEM,Joe Biden,36.4,0,1
-1.1,430,Pennsylvania,REP,Donald Trump,45.3,0,0
-1.1,490,Idaho,DEM,Joe Biden,25.8,0,1
-1.1,490,Idaho,REP,Donald Trump,54.5,1,0
-1.1,532,Wisconsin,DEM,Joe Biden,39.5,0,1
-1.1,532,Wisconsin,REP,Donald Trump,42,0,0
-1.1,491,Missouri,DEM,Joe Biden,33,0,1
-1.1,491,Missouri,REP,Donald Trump,50.2,1,0
-1.1,487,Kansas,DEM,Joe Biden,31,0,1
-1.1,487,Kansas,REP,Donald Trump,47,0,0
-1.1,539,West Virginia,DEM,Joe Biden,22.5,0,1
-1.1,539,West Virginia,REP,Donald Trump,59.3,1,0
-1.1,462,Indiana,DEM,Joe Biden,28.5,0,1
-1.1,462,Indiana,REP,Donald Trump,47.5,0,0
-1.1,464,Iowa,DEM,Joe Biden,33.8,0,1
-1.1,464,Iowa,REP,Donald Trump,43.5,0,0
